label,cluster_no
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
rice,0
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
maize,7
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
kidneybeans,1
